No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
0	(	O	O	-	0	865	908	372	390	-
0	Viel	O	O	-	0	865	908	372	390	-
0	faches	O	O	-	0	315	366	388	407	-
0	Hört	O	O	-	0	377	425	389	408	-
0	!	O	O	-	0	377	425	389	408	-
0	bört	O	O	-	0	436	479	389	407	-
0	!	O	O	-	0	436	479	389	407	-
0	links	O	O	-	0	496	549	390	410	-
0	.	O	O	-	0	496	549	390	410	-
0	)	O	O	-	0	496	549	390	410	-
0	nan	O	O	-	0	570	635	390	411	-
0	Darauf	O	O	-	0	570	635	390	411	-
0	raht	O	O	-	0	652	691	393	411	-
0	wirklich	O	O	-	0	702	764	392	411	-
0	ras	O	O	-	0	775	804	393	409	-
0	Mort	O	O	-	0	815	862	392	410	-
0	eine	O	O	-	0	872	905	393	410	-
0	Zentrumsführere	O	O	-	0	316	473	408	429	-
0	:	O	O	-	0	316	473	408	429	-
0	So	O	O	-	0	493	522	410	427	-
0	macht	O	O	-	0	538	587	411	430	-
0	man	O	O	-	0	604	640	416	429	-
0	Wuͤrſte	O	O	-	0	655	721	413	436	-
0	,	O	O	-	0	655	721	413	436	-
0	aber	O	O	-	0	742	778	413	430	-
0	keine	O	O	-	0	793	835	412	430	-
0	(	O	O	-	0	850	909	413	436	-
0	eſetze	O	O	-	0	850	909	413	436	-
0	.	O	O	-	0	315	417	430	449	-
0		O	O	-	0	315	417	430	449	-
0	(	O	O	-	0	315	417	430	449	-
0	Heiterken	O	O	-	0	315	417	430	449	-
0	)	O	O	-	0	315	417	430	449	-
0	.	O	O	-	0	315	417	430	449	-
0	nan	O	O	-	0	437	490	430	447	-
0	Wenn	O	O	-	0	437	490	430	447	-
0	die	O	O	-	0	501	525	432	448	-
0	Kirche	O	O	-	0	535	589	432	451	-
0	den	O	O	-	0	600	629	434	450	-
0	Staat	O	O	-	0	640	692	433	451	-
0	weirklich	O	O	-	0	702	764	433	452	-
0	fo	O	O	-	0	774	791	433	451	-
0	lieb	O	O	-	0	802	832	433	450	-
0	kat	O	O	-	0	843	905	433	454	-
0	,	O	O	-	0	843	905	433	454	-
0	ſie	O	O	-	0	315	336	450	467	-
0	bebaurtet	O	O	-	0	347	433	450	470	-
0	,	O	O	-	0	347	433	450	470	-
0	ſoll	O	O	-	0	448	474	451	467	-
0	ſie	O	O	-	0	486	506	451	469	-
0	um	O	O	-	0	517	543	456	469	-
0	reinliche	O	O	-	0	554	624	453	470	-
0	Eckeidung	O	O	-	0	635	724	454	472	-
0	der	O	O	-	0	734	761	454	470	-
0	ebe	O	O	-	0	771	806	454	470	-
0	einkommen	O	O	-	0	817	909	454	471	-
0	.	O	O	-	0	315	369	470	489	-
0	nan	O	O	-	0	315	369	470	489	-
0	Michts	O	O	-	0	315	369	470	489	-
0	iſt	O	O	-	0	381	398	470	487	-
0	gefaͤbrlicher	O	O	-	0	408	508	470	492	-
0	fuͤr	O	O	-	0	518	544	472	492	-
0	den	O	O	-	0	555	584	474	490	-
0	Staat	O	O	-	0	595	651	474	493	-
0	,	O	O	-	0	595	651	474	493	-
0	wie	O	O	-	0	667	696	474	490	-
0	die	O	O	-	0	707	731	474	490	-
0	zaͤrtliche	O	O	-	0	742	809	473	493	-
0	Umarmun	O	O	-	0	820	904	474	492	-
0	der	O	O	-	0	316	342	492	507	-
0	Kirche	O	O	-	0	352	413	491	507	-
0	.	O	O	-	0	352	413	491	507	-
0	nan	O	O	-	0	430	521	492	510	-
0	(	O	O	-	0	430	521	492	510	-
0	Geiterkeit	O	O	-	0	430	521	492	510	-
0	und	O	O	-	0	531	564	495	510	-
0	Beifal	O	O	-	0	574	633	493	512	-
0	links	O	O	-	0	649	701	493	512	-
0	.	O	O	-	0	649	701	493	512	-
0	)	O	O	-	0	649	701	493	512	-
0	nan	O	O	-	0	721	762	494	514	-
0	Herr	O	O	-	0	721	762	494	514	-
0	Bachem	B-PER	O	-	0	772	838	494	514	-
0	tat	O	O	-	0	849	877	496	514	-
0	mi	O	O	-	0	887	908	501	512	-
0	urbaie	O	O	-	0	315	398	511	535	-
0	gerufen	O	O	-	0	401	479	512	535	-
0	:	O	O	-	0	401	479	512	535	-
0	Wir	O	O	-	0	489	526	512	530	-
0	wollen	O	O	-	0	536	593	514	531	-
0	mit	O	O	-	0	604	631	515	531	-
0	gleichen	O	O	-	0	641	706	514	534	-
0	Waffen	O	O	-	0	717	780	514	532	-
0	kampifen	O	O	-	0	791	865	515	534	-
0	.	O	O	-	0	791	865	515	534	-
0	nan	O	O	-	0	877	908	516	534	-
0	Verzichten	O	O	-	0	877	908	516	534	-
0	Sie	O	O	-	0	381	414	536	549	-
0	erit	O	O	-	0	424	453	533	552	-
0	auf	O	O	-	0	470	499	534	552	-
0	Jhre	O	O	-	0	509	550	534	554	-
0	riritegien	O	O	-	0	560	663	535	555	-
0	,	O	O	-	0	560	663	535	555	-
0	die	O	O	-	0	680	705	535	551	-
0	geiſtliche	O	O	-	0	715	788	535	555	-
0	Schulaufficht	O	O	-	0	798	910	535	555	-
0	,	O	O	-	0	798	910	535	555	-
0	und	O	O	-	0	315	348	554	568	-
0	erkennen	O	O	-	0	359	432	552	570	-
0	Sie	O	O	-	0	443	477	553	571	-
0	die	O	O	-	0	494	518	554	571	-
0	(	O	O	-	0	529	623	555	574	-
0	wiffent	O	O	-	0	529	623	555	574	-
0	,	O	O	-	0	529	623	555	574	-
0	und	O	O	-	0	632	664	557	571	-
0	Religionsfreibeit	O	O	-	0	674	821	554	576	-
0	an	O	O	-	0	831	858	561	576	-
0	,	O	O	-	0	831	858	561	576	-
0	dan	O	O	-	0	874	903	558	574	-
0	kemmen	O	O	-	0	315	383	573	589	-
0	Sie	O	O	-	0	390	422	573	590	-
0	uns	O	O	-	0	428	460	575	590	-
0	wieder	O	O	-	0	465	521	574	592	-
0	mit	O	O	-	0	527	555	577	592	-
0	diefer	O	O	-	0	561	607	576	595	-
0	Materie	O	O	-	0	612	686	574	592	-
0	.	O	O	-	0	612	686	574	592	-
0	nan	O	O	-	0	698	781	575	596	-
0	Vorlaͤufig	O	O	-	0	698	781	575	596	-
0	bitte	O	O	-	0	787	824	577	593	-
0	ich	O	O	-	0	830	850	577	596	-
0	Eie	O	O	-	0	855	898	577	595	-
0	Antereſie	O	O	-	0	315	393	593	611	-
0	des	O	O	-	0	404	431	594	610	-
0	zriedens	O	O	-	0	439	519	594	615	-
0	,	O	O	-	0	439	519	594	615	-
0	dieſen	O	O	-	0	530	579	596	613	-
0	ſchwierizen	O	O	-	0	590	683	596	615	-
0	Steff	O	O	-	0	692	739	596	615	-
0	nicht	O	O	-	0	746	785	597	615	-
0	immer	O	O	-	0	796	850	598	615	-
0	wier	O	O	-	0	860	898	598	615	-
0	in	O	O	-	0	315	332	614	630	-
0	die	O	O	-	0	344	367	614	630	-
0	Reichstagsdebatten	O	O	-	0	378	542	612	635	-
0	hinein	O	O	-	0	554	605	616	633	-
0	zuwerten	O	O	-	0	608	687	617	635	-
0	.	O	O	-	0	608	687	617	635	-
0	nan	O	O	-	0	708	740	617	636	-
0	Zut	O	O	-	0	708	740	617	636	-
0	Bejeit	O	O	-	0	747	848	617	638	-
0	:	O	O	-	0	747	848	617	638	-
0	gung	O	O	-	0	747	848	617	638	-
0	kleine	O	O	-	0	859	906	618	636	-
0	madelſtiche	O	O	-	0	316	411	634	651	-
0	und	O	O	-	0	421	454	637	652	-
0	Blackereien	O	O	-	0	464	559	636	654	-
0	in	O	O	-	0	576	592	637	652	-
0	ruͤckitaͤndigen	O	O	-	0	602	712	636	656	-
0	Laͤndern	O	O	-	0	724	795	637	655	-
0	wie	O	O	-	0	805	844	638	655	-
0	Sachſen	B-LOC	O	-	0	846	902	638	658	-
0	und	O	O	-	0	315	348	656	671	-
0	Mecklenburg	B-LOC	O	Q109057|Q318146	0	359	467	655	677	0.66,0.25
0	(	O	O	-	0	478	524	656	677	-
0	Abg	O	O	-	0	478	524	656	677	-
0	.	O	O	-	0	478	524	656	677	-
0	Rettich	B-PER	O	-	0	534	601	656	675	-
0	:	O	O	-	0	534	601	656	675	-
0	Jn	O	O	-	0	616	642	656	676	-
0	Mecklenburg	B-LOC	O	Q109057|Q318146	0	653	761	657	678	0.66,0.25
0	find	O	O	-	0	772	804	659	676	-
0	alle	O	O	-	0	815	844	659	676	-
0	Katholiken	O	O	-	0	855	907	661	677	-
0	zufrieden	O	O	-	0	367	451	676	695	-
0	!	O	O	-	0	367	451	676	695	-
0	nan	O	O	-	0	472	565	677	696	-
0	Heiterteit	O	O	-	0	472	565	677	696	-
0	.	O	O	-	0	472	565	677	696	-
0	)	O	O	-	0	576	635	678	694	-
0	werden	O	O	-	0	576	635	678	694	-
0	wir	O	O	-	0	646	676	678	695	-
0	Zhnen	O	O	-	0	687	741	677	697	-
0	gern	O	O	-	0	752	789	683	699	-
0	belfen	O	O	-	0	800	856	679	698	-
0	.	O	O	-	0	800	856	679	698	-
0	nan	O	O	-	0	872	905	681	698	-
0	Ade	O	O	-	0	872	905	681	698	-
0	in	O	O	-	0	315	332	700	712	-
0	dieier	O	O	-	0	344	390	696	713	-
0	geit	O	O	-	0	401	441	697	717	-
0	,	O	O	-	0	401	441	697	717	-
0	wo	O	O	-	0	452	476	701	714	-
0	der	O	O	-	0	487	513	699	714	-
0	groͤhte	O	O	-	0	529	583	697	717	-
0	Einzelbundesſtaat	O	O	-	0	593	750	698	715	-
0	des	O	O	-	0	761	787	701	717	-
0	Reiches	O	O	-	0	799	863	700	719	-
0	ſein	O	O	-	0	873	905	701	720	-
0	Schule	O	O	-	0	315	375	716	733	-
0	dem	O	O	-	0	391	424	718	734	-
0	Klerikalitnms	O	O	-	0	440	559	718	734	-
0	ausliefert	O	O	-	0	575	661	718	739	-
0	,	O	O	-	0	575	661	718	739	-
0	müffen	O	O	-	0	677	734	719	739	-
0	wir	O	O	-	0	751	779	723	737	-
0	Reιnvvertrete	O	O	-	0	790	905	720	739	-
0	felbit	O	O	-	0	315	359	737	755	-
0	einer	O	O	-	0	376	418	737	755	-
0	ſo	O	O	-	0	433	449	738	758	-
0	agefabtlichen	O	O	-	0	466	565	738	757	-
0	(	O	O	-	0	581	705	738	759	-
0	eietzmacherei	O	O	-	0	581	705	738	759	-
0	mit	O	O	-	0	717	745	740	756	-
0	aller	O	O	-	0	758	796	740	757	-
0	Echärit	O	O	-	0	806	872	740	761	-
0	entgegeutreten	O	O	-	0	883	909	744	760	-
0	.	O	O	-	0	317	420	759	777	-
0	nan	O	O	-	0	440	469	758	777	-
0	Jch	O	O	-	0	440	469	758	777	-
0	bitte	O	O	-	0	480	517	759	775	-
0	Sie	O	O	-	0	527	559	758	776	-
0	um	O	O	-	0	570	596	763	775	-
0	fofortige	O	O	-	0	607	679	758	780	-
0	AUblebnung	O	O	-	0	687	779	759	780	-
0	mindeſtens	O	O	-	0	788	879	762	780	-
0	de	O	O	-	0	887	904	764	780	-
0	aͤweiten	O	O	-	0	315	380	778	796	-
0	Teiles	O	O	-	0	396	449	778	796	-
0	dieiet	O	O	-	0	465	514	779	798	-
0	efetentwurtet	O	O	-	0	524	661	780	802	-
0	—	O	O	-	0	672	691	789	793	-
0	gerade	O	O	-	0	702	758	783	801	-
0	im	O	O	-	0	768	789	786	798	-
0	Jntereſft	O	O	-	0	802	877	781	802	-
0	de	O	O	-	0	889	905	785	801	-
0	allaemeinen	O	O	-	0	315	416	799	818	-
0	Teteranz	O	O	-	0	427	504	799	821	-
0	und	O	O	-	0	518	550	800	817	-
0	Gewiffenefreiheit	O	O	-	0	561	715	800	822	-
0	.	O	O	-	0	561	715	800	822	-
0	nan	O	O	-	0	741	793	803	823	-
0	(	O	O	-	0	741	793	803	823	-
0	ebtz	O	O	-	0	741	793	803	823	-
0	.	O	O	-	0	741	793	803	823	-
0		O	O	-	0	803	864	803	823	-
0	Beifan	O	O	-	0	803	864	803	823	-
0	b	O	O	-	0	874	909	804	822	-
0	.	O	O	-	0	874	909	804	822	-
0	d	O	O	-	0	874	909	804	822	-
0	.	O	O	-	0	874	909	804	822	-
0	Freiſ	O	O	-	0	315	363	819	839	-
0	.	O	O	-	0	315	363	819	839	-
0	.	O	O	-	0	315	363	819	839	-
0	und	O	O	-	0	373	405	822	837	-
0	Natl	O	O	-	0	415	471	820	839	-
0	.	O	O	-	0	415	471	820	839	-
0	)	O	O	-	0	415	471	820	839	-
0	nan	O	O	-	0	336	376	840	861	-
0	Abg	O	O	-	0	336	376	840	861	-
0	.	O	O	-	0	336	376	840	861	-
0	v	O	O	-	0	387	406	844	858	-
0	.	O	O	-	0	387	406	844	858	-
0	Kardorff	B-PER	O	Q96133	0	416	502	840	861	0.32
0	(	O	O	-	0	511	571	841	862	-
0	Rpk	O	O	-	0	511	571	841	862	-
0	.	O	O	-	0	511	571	841	862	-
0	)	O	O	-	0	511	571	841	862	-
0	:	O	O	-	0	511	571	841	862	-
0	Die	O	O	-	0	581	614	842	860	-
0	bitherige	O	O	-	0	623	702	842	864	-
0	Digkuſſten	O	O	-	0	712	803	843	864	-
0	hat	O	O	-	0	813	842	845	863	-
0	gezeigt	O	O	-	0	852	909	847	867	-
0	wie	O	O	-	0	315	345	861	877	-
0	recht	O	O	-	0	364	401	862	878	-
0	dieieuigen	O	O	-	0	418	504	862	883	-
0	Erangeliſchen	O	O	-	0	520	639	863	884	-
0	gebabt	O	O	-	0	658	713	865	885	-
0	haden	O	O	-	0	727	781	865	886	-
0	,	O	O	-	0	727	781	865	886	-
0	relche	O	O	-	0	792	845	867	887	-
0	infelg	O	O	-	0	856	905	867	887	-
0	dieſes	O	O	-	0	315	364	882	899	-
0	Antraas	O	O	-	0	385	455	882	902	-
0	eine	O	O	-	0	476	511	883	899	-
0	allgemeine	O	O	-	0	527	617	884	903	-
0	Aufregung	O	O	-	0	633	726	884	906	-
0	aller	O	O	-	0	743	781	886	903	-
0	Landeskirche	O	O	-	0	796	908	886	905	-
0	mnichten	O	O	-	0	314	386	903	922	-
0	.	O	O	-	0	314	386	903	922	-
0	nan	O	O	-	0	407	443	903	920	-
0	Wir	O	O	-	0	407	443	903	920	-
0	werden	O	O	-	0	461	521	904	921	-
0	den	O	O	-	0	539	569	905	922	-
0	Antraz	O	O	-	0	589	650	905	927	-
0	einfach	O	O	-	0	667	725	906	927	-
0	ablehnen	O	O	-	0	745	827	907	928	-
0	.	O	O	-	0	745	827	907	928	-
0	nan	O	O	-	0	847	901	909	928	-
0	(	O	O	-	0	847	901	909	928	-
0	Beifa	O	O	-	0	847	901	909	928	-
0	bei	O	O	-	0	313	338	922	939	-
0	den	O	O	-	0	350	378	924	940	-
0	Rpk	O	O	-	0	389	435	923	942	-
0	.	O	O	-	0	389	435	923	942	-
0	)	O	O	-	0	389	435	923	942	-
0	nan	O	O	-	0	335	375	943	963	-
0	Arg	O	O	-	0	335	375	943	963	-
0	.	O	O	-	0	335	375	943	963	-
0		O	O	-	0	392	483	943	963	-
0	Schrader	I-PER	O	Q17575261|Q2504751|Q63296	0	392	483	943	963	0.15,0.13,0.1
0	(	O	O	-	0	501	554	945	965	-
0	Freiſ	O	O	-	0	501	554	945	965	-
0	.	O	O	-	0	501	554	945	965	-
0		O	O	-	0	565	621	946	967	-
0	Vgg	O	O	-	0	565	621	946	967	-
0	.	O	O	-	0	565	621	946	967	-
0	)	O	O	-	0	565	621	946	967	-
0	:	O	O	-	0	565	621	946	967	-
0	Die	O	O	-	0	639	671	947	965	-
0	rielen	O	O	-	0	687	737	948	966	-
0	keinen	O	O	-	0	748	807	949	967	-
0	Qugtereie	O	O	-	0	818	906	949	967	-
0	ftenen	O	O	-	0	314	363	968	984	-
0	Katkeliken	O	O	-	0	380	478	964	986	-
0	,	O	O	-	0	380	478	964	986	-
0	wie	O	O	-	0	495	524	967	983	-
0	ſie	O	O	-	0	541	561	967	987	-
0	namentlich	O	O	-	0	579	670	968	989	-
0	auch	O	O	-	0	686	721	970	989	-
0	in	O	O	-	0	740	755	970	986	-
0	meinem	O	O	-	0	772	836	975	987	-
0	engere	O	O	-	0	848	906	976	991	-
0	Vaterlande	O	O	-	0	314	411	985	1002	-
0	Braunſchweig	B-LOC	O	Q2773|Q326029	0	428	547	986	1008	0.72,0.17
0	vorkemmen	O	O	-	0	564	668	988	1009	-
0	,	O	O	-	0	564	668	988	1009	-
0	ſind	O	O	-	0	686	718	989	1007	-
0	naturlich	O	O	-	0	736	811	991	1009	-
0	ron	O	O	-	0	823	853	996	1009	-
0	ſeden	O	O	-	0	865	911	995	1012	-
0	liberalen	O	O	-	0	314	388	1006	1022	-
0	Manne	O	O	-	0	406	470	1006	1024	-
0	auit	O	O	-	0	486	523	1008	1027	-
0	ſchaͤrfſte	O	O	-	0	534	601	1007	1028	-
0	zu	O	O	-	0	614	631	1014	1028	-
0	rerurteilen	O	O	-	0	643	741	1011	1027	-
0	.	O	O	-	0	643	741	1011	1027	-
0	nan	O	O	-	0	764	796	1011	1031	-
0	Zbt	O	O	-	0	764	796	1011	1031	-
0	Antrag	O	O	-	0	806	866	1012	1032	-
0	,	O	O	-	0	806	866	1012	1032	-
0	aet	O	O	-	0	878	903	1014	1032	-
0	aber	O	O	-	0	314	351	1026	1042	-
0	nicht	O	O	-	0	363	401	1026	1046	-
0	ant	O	O	-	0	411	439	1027	1046	-
0	allgemeine	O	O	-	0	449	539	1027	1048	-
0	Religionofreiheit	O	O	-	0	549	701	1028	1050	-
0	,	O	O	-	0	549	701	1028	1050	-
0	ſendern	O	O	-	0	712	776	1031	1051	-
0	ict	O	O	-	0	789	806	1033	1050	-
0	ein	O	O	-	0	819	843	1033	1049	-
0	taeieteutwuri	O	O	-	0	855	904	1034	1053	-
0	zur	O	O	-	0	391	417	1051	1066	-
0	Verbefſerung	O	O	-	0	426	538	1047	1070	-
0	der	O	O	-	0	549	576	1050	1066	-
0	Stelung	O	O	-	0	586	664	1049	1071	-
0	der	O	O	-	0	681	708	1052	1068	-
0	katholiſchen	O	O	-	0	723	822	1052	1072	-
0	Kirche	O	O	-	0	833	884	1054	1072	-
0	in	O	O	-	0	896	911	1058	1070	-
0	Deutſchland	B-LOC	O	Q183|Q481598	0	313	422	1066	1086	0.44,0.12
0	.	O	O	-	0	313	422	1066	1086	-
0	nan	O	O	-	0	443	495	1068	1092	-
0	(	O	O	-	0	443	495	1068	1092	-
0	Sehr	O	O	-	0	443	495	1068	1092	-
0	richtig	O	O	-	0	509	571	1069	1090	-
0	!	O	O	-	0	509	571	1069	1090	-
0	linkt	O	O	-	0	587	627	1071	1088	-
0	und	O	O	-	0	643	676	1072	1088	-
0	rechtt	O	O	-	0	686	745	1072	1092	-
0	)	O	O	-	0	686	745	1072	1092	-
0	nan	O	O	-	0	766	818	1072	1090	-
0	Wenn	O	O	-	0	766	818	1072	1090	-
0	Sie	O	O	-	0	829	861	1074	1091	-
0	Jhre	O	O	-	0	872	911	1074	1093	-
0	Saͤtze	O	O	-	0	314	363	1087	1108	-
0	allaemeiner	O	O	-	0	380	479	1089	1108	-
0	aubdrücken	O	O	-	0	495	593	1090	1111	-
0	,	O	O	-	0	495	593	1090	1111	-
0	ſe	O	O	-	0	608	626	1091	1112	-
0	liegt	O	O	-	0	643	683	1091	1111	-
0	das	O	O	-	0	693	723	1093	1109	-
0	nut	O	O	-	0	733	763	1097	1110	-
0	daran	O	O	-	0	774	828	1094	1115	-
0	,	O	O	-	0	774	828	1094	1115	-
0	daß	O	O	-	0	839	870	1094	1115	-
0	Si	O	O	-	0	880	903	1094	1112	-
0	gern	O	O	-	0	311	350	1112	1127	-
0	auch	O	O	-	0	371	407	1109	1128	-
0	andere	O	O	-	0	422	479	1111	1126	-
0	Lente	O	O	-	0	496	542	1109	1128	-
0	auf	O	O	-	0	559	587	1111	1131	-
0	Jhrer	O	O	-	0	604	654	1111	1131	-
0	Seite	O	O	-	0	670	718	1112	1130	-
0	haben	O	O	-	0	735	790	1114	1133	-
0	.	O	O	-	0	735	790	1114	1133	-
0	nan	O	O	-	0	811	851	1115	1132	-
0	Uder	O	O	-	0	811	851	1115	1132	-
0	wenn	O	O	-	0	867	911	1119	1133	-
0	der	O	O	-	0	312	338	1129	1144	-
0	(	O	O	-	0	360	435	1128	1149	-
0	entwurf	O	O	-	0	360	435	1128	1149	-
0	Geſetz	O	O	-	0	455	507	1130	1150	-
0	werden	O	O	-	0	527	588	1133	1149	-
0	ſollte	O	O	-	0	614	664	1132	1152	-
0	,	O	O	-	0	614	664	1132	1152	-
0	werden	O	O	-	0	686	747	1134	1150	-
0	Sie	O	O	-	0	767	800	1134	1152	-
0	diez	O	O	-	0	820	854	1136	1152	-
0	aus	O	O	-	0	874	911	1137	1152	-
0	.	O	O	-	0	874	911	1137	1152	-
0	ſchlietztich	O	O	-	0	874	911	1137	1152	-
0	zur	O	O	-	0	420	448	1154	1170	-
0	Etaͤrkung	O	O	-	0	473	557	1149	1173	-
0	der	O	O	-	0	582	609	1152	1169	-
0	katholiſchen	O	O	-	0	629	728	1153	1174	-
0	Kirche	O	O	-	0	748	802	1154	1175	-
0	anwenden	O	O	-	0	821	910	1157	1174	-
0	nan	O	O	-	0	311	344	1169	1186	-
0	Die	O	O	-	0	311	344	1169	1186	-
0	Kaͤlle	O	O	-	0	373	416	1169	1187	-
0	ſtaatsbürgerlicher	O	O	-	0	443	593	1171	1193	-
0	Jntoleranz	O	O	-	0	618	714	1172	1194	-
0	ron	O	O	-	0	741	773	1178	1193	-
0	Seiten	O	O	-	0	799	857	1175	1194	-
0	der	O	O	-	0	885	911	1178	1194	-
0	katholiſchen	O	O	-	0	311	411	1190	1209	-
0	Kirche	O	O	-	0	421	474	1191	1211	-
0	find	O	O	-	0	485	518	1192	1211	-
0	ſo	O	O	-	0	528	545	1193	1213	-
0	haͤufig	O	O	-	0	555	614	1193	1218	-
0	.	O	O	-	0	555	614	1193	1218	-
0	daß	O	O	-	0	628	660	1194	1215	-
0	Sie	O	O	-	0	671	703	1194	1212	-
0	uunt	O	O	-	0	719	751	1197	1212	-
0	unſer	O	O	-	0	761	806	1196	1215	-
0	Mißtrauen	O	O	-	0	817	910	1197	1217	-
0	nicht	O	O	-	0	311	350	1211	1227	-
0	rerdenken	O	O	-	0	361	443	1212	1228	-
0	koͤnnen	O	O	-	0	455	519	1212	1230	-
0	.	O	O	-	0	455	519	1212	1230	-
0	nan	O	O	-	0	539	573	1213	1234	-
0	Auf	O	O	-	0	539	573	1213	1234	-
0	die	O	O	-	0	588	612	1212	1231	-
0	Einzelbeiten	O	O	-	0	624	731	1215	1235	-
0	werden	O	O	-	0	746	807	1218	1234	-
0	wir	O	O	-	0	818	846	1218	1234	-
0	in	O	O	-	0	857	874	1219	1235	-
0	der	O	O	-	0	884	910	1220	1235	-
0	Kommiſſion	O	O	-	0	311	416	1231	1250	-
0	eingeben	O	O	-	0	427	507	1233	1253	-
0	.	O	O	-	0	427	507	1233	1253	-
0	nan	O	O	-	0	526	587	1233	1252	-
0	Sovlel	B-PER	O	-	0	526	587	1233	1252	-
0	kann	O	O	-	0	597	636	1235	1252	-
0	ich	O	O	-	0	648	669	1234	1255	-
0	aber	O	O	-	0	679	715	1237	1253	-
0	ſchon	O	O	-	0	725	767	1237	1256	-
0	jetzt	O	O	-	0	778	811	1237	1258	-
0	ſagen	O	O	-	0	821	874	1238	1258	-
0	:	O	O	-	0	821	874	1238	1258	-
0	(	O	O	-	0	885	909	1239	1256	-
0	it	O	O	-	0	312	330	1251	1268	-
0	nicht	O	O	-	0	349	387	1252	1270	-
0	moͤzlich	O	O	-	0	404	473	1252	1273	-
0	,	O	O	-	0	404	473	1252	1273	-
0	durch	O	O	-	0	489	533	1254	1274	-
0	einige	O	O	-	0	549	599	1255	1276	-
0	wenige	O	O	-	0	615	674	1256	1276	-
0	Varagrarhen	O	O	-	0	684	798	1256	1278	-
0	eine	O	O	-	0	813	847	1258	1275	-
0	roͤtig	O	O	-	0	862	909	1259	1280	-
0	neue	O	O	-	0	310	349	1275	1288	-
0	Stellung	O	O	-	0	362	436	1272	1293	-
0	der	O	O	-	0	448	474	1274	1291	-
0	Kirche	O	O	-	0	483	537	1274	1294	-
0	in	O	O	-	0	554	571	1275	1292	-
0	Deutſchland	O	O	-	0	581	685	1275	1296	-
0	zu	O	O	-	0	702	721	1282	1297	-
0	ſchaffen	O	O	-	0	737	805	1278	1297	-
0	.	O	O	-	0	737	805	1278	1297	-
0	nan	O	O	-	0	826	909	1279	1298	-
0	Schneider	B-PER	O	Q72878|Q77876|Q78193|Q66235|Q78469|Q992835|Q76490|Q64520	0	826	909	1279	1298	0.38,0.35,0.23,0.2,0.18,0.17,0.12,0.11
0	man	O	O	-	0	310	347	1296	1309	-
0	dieſe	O	O	-	0	358	397	1293	1312	-
0	Materie	O	O	-	0	402	473	1293	1311	-
0	einmal	O	O	-	0	483	541	1295	1312	-
0	an	O	O	-	0	551	578	1300	1316	-
0	,	O	O	-	0	551	578	1300	1316	-
